title,broadcaster,timeslot,air_day,year,season,status,genre,main_cast,あらすじ
完全不倫-隠す美学、暴く覚悟-,,火曜日,2025,,,,,,
私があなたといる理由～グアムを訪れた3組の男女の1週間～,,火曜日,2025,,,,,,
トラックガール２,,火曜日,2025,,,,,,
シンデレラ クロゼット,,火曜日,2025,,,,,,
極道上司に愛されたら,,火曜日,2025,,,,,,
大追跡～警視庁SSBC強行犯係,テレビ朝日系,水曜日,2025,2025,7月期,airing,刑事ドラマ,大森南朋、相葉雅紀、松下奈緒、遠藤憲一,警視庁に2009年に新設された「捜査支援分析センター（SSBC）」に初めてスポットを当てた作品。SSBCに新設された別班「SSBC強行犯係」のメンバー・伊垣修二（大森南朋）は元捜査一課の刑事で、3年前に問題を起こしSSBCに異動になっていた。そんな伊垣は警察庁から出向してきた名波凛太郎（相葉雅紀）の教育係を任されることになる。分析・追跡捜査の専門部隊として、防犯カメラ映像の収集や分析、スマートフォン、パソコンの解析、犯人像のプロファイリングなどを担う現代捜査のキーマンとも言うべき最先端のプロフェッショナル集団の活躍を描く。
ちはやふる-めぐり-,日本テレビ系,水曜日,2025,2025,7月期,airing,青春、学園ドラマ,當真あみ、上白石萌音、藤原大祐、原菜乃華、齋藤潤、嵐莉菜、山時聡真,映画『ちはやふる』から10年後の世界を原作者・末次由紀と共に紡ぐオリジナルストーリー。梅園高校競技かるた部が廃部の危機を迎える中、瑞沢高校競技かるた部卒業生である大江奏（上白石萌音）が顧問として現れ、幽霊部員の藍沢めぐる（當真あみ）と出会う。ほとばしる情熱は、色褪せることなく新たな世代へめぐっていく。バトンを受け継いだ令和の高校生たちが青春全てをかけて競技かるたに挑む。
最後の鑑定人,フジテレビ系,水曜日,2025,2025,7月期,airing,サイエンスミステリー,藤木直人、白石麻衣、迫田孝也、中沢元紀、阿部亮平、栗原類、松雪泰子,かつて科捜研（科学捜査研究所）のエースとして活躍していた土門誠（藤木直人）は、ある事件をきっかけに科捜研を辞め、今は自ら開設した『土門鑑定所』を営んでいる。そんな土門鑑定所で研究員として働く高倉柊子（白石麻衣）は学生時代に心理学を学んでおり、仕草や言動から人の嘘を見抜くことに長けていた。敏腕鑑定人が、科学的アプローチを駆使して難事件に挑む本格サイエンスミステリー。
海老だって鯛が釣りたい,,水曜日,2025,,,,,,
雨上がりの僕らについて,,水曜日,2025,,,,,,
日本統一 東京編,,水曜日,2025,,,,,,
ただの恋愛なんかできっこない,,水曜日,2025,,,,,,
しあわせな結婚,,木曜日,2025,,,,,,
愛の、がっこう。,フジテレビ系,木曜日,2025,2025,7月期,airing,恋愛、ヒューマンドラマ,木村文乃、ラウール、田中みな実、中島歩、りょう、沢村一樹、吉瀬美智子,堅い家庭で育った真面目すぎる高校教師・小川愛実（木村文乃）は、文字の読み書きが苦手なホスト・カヲル（ラウール）に、言葉や社会を教える秘密の個人授業を行っていた。全く異なる世界で生きてきた2人だったが、授業を通じて次第に心の距離を縮めていく。しかし、やがて様々な批判や非難、憎しみ、そして嫉妬が容赦なく襲いかかる。現代にアップデートした新たな純愛ドラマ。
恋愛禁止,,木曜日,2025,,,,,,
やぶさかではございません,,木曜日,2025,,,,,,
ロンダリング,,木曜日,2025,,,,,,
量産型ルカ-プラモ部員の青き逆襲-,,木曜日,2025,,,,,,
もしも世界に「レンアイ」がなかったら,,木曜日,2025,,,,,,
世界で一番早い春,,木曜日,2025,,,,,,
彩香ちゃんは弘子先輩に恋してる2ndSeason,,木曜日,2025,,,,,,
能面検事,,金曜日,2025,,,,,,
DOPE 麻薬取締部特捜課,TBS系,金曜日,2025,2025,7月期,airing,アクション、サスペンス,髙橋海人、中村倫也、新木優子、井浦新,近未来の日本では高い致死率にもかかわらず手を出す者が後を絶たない謎の新型ドラッグ「DOPE」が蔓延。ごく稀に特殊能力を覚醒させるため、使用者が後を絶たない。新人の麻薬取締官の才木優人（髙橋海人）は特捜課へスカウトされる。特捜課はDOPE対策のために設立された秘匿性の高い特殊部隊。メンバーは異能力を持つ者たち。才木はここで新たな任務に挑むことになる。
奪い愛、真夏,,金曜日,2025,,,,,,
40までにしたい10のこと,,金曜日,2025,,,,,,
晩酌の
